d_estado;D_mnpio;pob_total
Nuevo León;Pesquería;147624
Nuevo León;Los Ramones;5389
Nuevo León;Rayones;2377
Nuevo León;Sabinas Hidalgo;34709
Nuevo León;Salinas Victoria;86766
Nuevo León;San Nicolás de los Garza;412199
Nuevo León;Hidalgo;16086
Nuevo León;Santa Catarina;306322
Nuevo León;Santiago;46784
Nuevo León;Vallecillo;1552
Nuevo León;Villaldama;3573
Oaxaca;Abejones;841
Oaxaca;Acatlán de Pérez Figueroa;45167
Oaxaca;Asunción Cacalotepec;2547
Oaxaca;Asunción Cuyotepeji;1107
Oaxaca;Asunción Ixtaltepec;15261
Oaxaca;Asunción Nochixtlán;20464
Oaxaca;Asunción Ocotlán;2395
Oaxaca;Asunción Tlacolulita;734
Oaxaca;Ayotzintepec;6857
Oaxaca;El Barrio de la Soledad;13474
Oaxaca;Calihualá;1402
Oaxaca;Candelaria Loxicha;11166
Oaxaca;Ciénega de Zimatlán;3043
Oaxaca;Ciudad Ixtepec;28082
Oaxaca;Coatecas Altas;5356
Oaxaca;Coicoyán de las Flores;9563
Oaxaca;La Compañía;3607
Oaxaca;Concepción Buenavista;752
Oaxaca;Concepción Pápalo;2754
Oaxaca;Constancia del Rosario;4847
Oaxaca;Cosolapa;14488
Oaxaca;Cosoltepec;803
Oaxaca;Cuilápam de Guerrero;26882
Oaxaca;Cuyamecalco Villa de Zaragoza;3644
Oaxaca;Chahuites;11356
Oaxaca;Chalcatongo de Hidalgo;9035
Oaxaca;Chiquihuitlán de Benito Juárez;2179
Oaxaca;Heroica Ciudad de Ejutla de Crespo;23148
Oaxaca;Eloxochitlán de Flores Magón;4215
Oaxaca;El Espinal;8730
Oaxaca;Tamazulápam del Espíritu Santo;7185
Oaxaca;Fresnillo de Trujano;1077
Oaxaca;Guadalupe Etla;2929
Oaxaca;Guadalupe de Ramírez;1288
Oaxaca;Guelatao de Juárez;657
Oaxaca;Guevea de Humboldt;5256
Oaxaca;Mesones Hidalgo;4424
Oaxaca;Villa Hidalgo;1885
Oaxaca;Heroica Ciudad de Huajuapan de León;78313
Oaxaca;Huautepec;6385
Oaxaca;Huautla de Jiménez;31710
Oaxaca;Ixtlán de Juárez;8385
Oaxaca;Juchitán de Zaragoza;113570
Oaxaca;Loma Bonita;40934
Oaxaca;Magdalena Apasco;7888
Oaxaca;Magdalena Jaltepec;2943
Oaxaca;Santa Magdalena Jicotlán;81
Oaxaca;Magdalena Mixtepec;1433
Oaxaca;Magdalena Ocotlán;1184
Oaxaca;Magdalena Peñasco;3750
Oaxaca;Magdalena Teitipac;4764
Oaxaca;Magdalena Tequisistlán;5996
Oaxaca;Magdalena Tlacotepec;1297
Oaxaca;Magdalena Zahuatlán;404
Oaxaca;Mariscala de Juárez;3739
Oaxaca;Mártires de Tacubaya;1446
Oaxaca;Matías Romero Avendaño;38183
Oaxaca;Mazatlán Villa de Flores;12722
Oaxaca;Miahuatlán de Porfirio Díaz;50375
Oaxaca;Mixistlán de la Reforma;2487
Oaxaca;Monjas;2893
Oaxaca;Natividad;498
Oaxaca;Nazareno Etla;4293
Oaxaca;Nejapa de Madero;8494
Oaxaca;Ixpantepec Nieves;1079
Oaxaca;Santiago Niltepec;5342
Oaxaca;Oaxaca de Juárez;270955
Oaxaca;Ocotlán de Morelos;23751
Oaxaca;La Pe;3052
Oaxaca;Pinotepa de Don Luis;6416
Oaxaca;Pluma Hidalgo;3255
Oaxaca;San José del Progreso;8059
Oaxaca;Putla Villa de Guerrero;34652
Oaxaca;Santa Catarina Quioquitani;456
Oaxaca;Reforma de Pineda;2660
Oaxaca;La Reforma;3411
Oaxaca;Reyes Etla;4370
Oaxaca;Rojas de Cuauhtémoc;1301
Oaxaca;Salina Cruz;84438
Oaxaca;San Agustín Amatengo;1593
Oaxaca;San Agustín Atenango;1871
Oaxaca;San Agustín Chayuco;4163
Oaxaca;San Agustín de las Juntas;11391
Oaxaca;San Agustín Etla;4168
Oaxaca;San Agustín Loxicha;26194
Oaxaca;San Agustín Tlacotepec;1032
Oaxaca;San Agustín Yatareni;5521
Oaxaca;San Andrés Cabecera Nueva;2881
Oaxaca;San Andrés Dinicuiti;2308
Oaxaca;San Andrés Huaxpaltepec;6234
Oaxaca;San Andrés Huayápam;6279
Oaxaca;San Andrés Ixtlahuaca;1776
Oaxaca;San Andrés Lagunas;518
Oaxaca;San Andrés Nuxiño;1850
Oaxaca;San Andrés Paxtlán;4562
Oaxaca;San Andrés Sinaxtla;756
Oaxaca;San Andrés Solaga;1771
Oaxaca;San Andrés Teotilálpam;4233
Oaxaca;San Andrés Tepetlapa;381
Oaxaca;San Andrés Yaá;393
Oaxaca;San Andrés Zabache;748
Oaxaca;San Andrés Zautla;5326
Oaxaca;San Antonino Castillo Velasco;6064
Oaxaca;San Antonino el Alto;2705
Oaxaca;San Antonino Monte Verde;7678
Oaxaca;San Antonio Acutla;249
Oaxaca;San Antonio de la Cal;26282
Oaxaca;San Antonio Huitepec;2936
Oaxaca;San Antonio Nanahuatípam;1232
Oaxaca;San Antonio Sinicahua;1668
Oaxaca;San Antonio Tepetlapa;4873
Oaxaca;San Baltazar Chichicápam;2576
Oaxaca;San Baltazar Loxicha;3169
Oaxaca;San Baltazar Yatzachi el Bajo;674
Oaxaca;San Bartolo Coyotepec;10391
Oaxaca;San Bartolomé Ayautla;4131
Oaxaca;San Bartolomé Loxicha;2213
Oaxaca;San Bartolomé Quialana;2389
Oaxaca;San Bartolomé Yucuañe;735
Oaxaca;San Bartolomé Zoogocho;449
Oaxaca;San Bartolo Soyaltepec;596
Oaxaca;San Bartolo Yautepec;653
Oaxaca;San Bernardo Mixtepec;2829
Oaxaca;San Blas Atempa;19696
Oaxaca;San Carlos Yautepec;11662
Oaxaca;San Cristóbal Amatlán;5396
Oaxaca;San Cristóbal Amoltepec;1252
Oaxaca;San Cristóbal Lachirioag;1342
Oaxaca;San Cristóbal Suchixtlahuaca;356
Oaxaca;San Dionisio del Mar;5180
Oaxaca;San Dionisio Ocotepec;11411
Oaxaca;San Dionisio Ocotlán;1380
Oaxaca;San Esteban Atatlahuca;3934
Oaxaca;San Felipe Jalapa de Díaz;28500
Oaxaca;San Felipe Tejalápam;8231
Oaxaca;San Felipe Usila;12191
Oaxaca;San Francisco Cahuacuá;3450
Oaxaca;San Francisco Cajonos;451
Oaxaca;San Francisco Chapulapa;2195
Oaxaca;San Francisco Chindúa;812
Oaxaca;San Francisco del Mar;8710
Oaxaca;San Francisco Huehuetlán;842
Oaxaca;San Francisco Ixhuatán;9461
Oaxaca;San Francisco Jaltepetongo;1075
Oaxaca;San Francisco Lachigoló;5215
Oaxaca;San Francisco Logueche;2803
Oaxaca;San Francisco Nuxaño;376
Oaxaca;San Francisco Ozolotepec;2182
Oaxaca;San Francisco Sola;2019
Oaxaca;San Francisco Telixtlahuaca;13856
Oaxaca;San Francisco Teopan;312
Oaxaca;San Francisco Tlapancingo;2472
Oaxaca;San Gabriel Mixtepec;4910
Oaxaca;San Ildefonso Amatlán;2329
Oaxaca;San Ildefonso Sola;1060
Oaxaca;San Ildefonso Villa Alta;3677
Oaxaca;San Jacinto Amilpas;16827
Oaxaca;San Jacinto Tlacotepec;2233
Oaxaca;San Jerónimo Coatlán;5537
Oaxaca;San Jerónimo Silacayoapilla;1429
Oaxaca;San Jerónimo Sosola;2730
Oaxaca;San Jerónimo Taviche;2046
Oaxaca;San Jerónimo Tecóatl;1577
Oaxaca;San Jorge Nuchita;2881
Oaxaca;San José Ayuquila;1629
Oaxaca;San José Chiltepec;11310
Oaxaca;San José del Peñasco;2149
Oaxaca;San José Estancia Grande;938
Oaxaca;San José Independencia;4251
Oaxaca;San José Lachiguiri;3700
Oaxaca;San José Tenango;18102
Oaxaca;San Juan Achiutla;408
Oaxaca;San Juan Atepec;1457
Oaxaca;Ánimas Trujano;4564
Oaxaca;San Juan Bautista Atatlahuca;1424
Oaxaca;San Juan Bautista Coixtlahuaca;2725
Oaxaca;San Juan Bautista Cuicatlán;10365
Oaxaca;San Juan Bautista Guelache;6692
Oaxaca;San Juan Bautista Jayacatlán;1447
Oaxaca;San Juan Bautista Lo de Soto;2344
Oaxaca;San Juan Bautista Suchitepec;453
Oaxaca;San Juan Bautista Tlacoatzintepec;2181
Oaxaca;San Juan Bautista Tlachichilco;1475
Oaxaca;San Juan Bautista Tuxtepec;159452
Oaxaca;San Juan Cacahuatepec;8939
Oaxaca;San Juan Cieneguilla;524
Oaxaca;San Juan Coatzóspam;1808
Oaxaca;San Juan Colorado;9609
Oaxaca;San Juan Comaltepec;3116
Oaxaca;San Juan Cotzocón;22444
Oaxaca;San Juan Chicomezúchil;296
Oaxaca;San Juan Chilateca;1522
Oaxaca;San Juan del Estado;2807
Oaxaca;San Juan del Río;1372
Oaxaca;San Juan Diuxi;1056
Oaxaca;San Juan Evangelista Analco;407
Oaxaca;San Juan Guelavía;3288
Oaxaca;San Juan Guichicovi;29802
Oaxaca;San Juan Ihualtepec;494
Oaxaca;San Juan Juquila Mixes;3703
Oaxaca;San Juan Juquila Vijanos;1880
Oaxaca;San Juan Lachao;4577
Oaxaca;San Juan Lachigalla;3538
Oaxaca;San Juan Lajarcia;634
Oaxaca;San Juan Lalana;16989
Oaxaca;San Juan de los Cués;2421
Oaxaca;San Juan Mazatlán;19032
Oaxaca;San Juan Mixtepec;6941
Oaxaca;San Juan Mixtepec.;607
Oaxaca;San Juan Ñumí;5773
Oaxaca;San Juan Ozolotepec;3411
Oaxaca;San Juan Petlapa;3117
Oaxaca;San Juan Quiahije;4203
Oaxaca;San Juan Quiotepec;2033
Oaxaca;San Juan Sayultepec;879
Oaxaca;San Juan Tabaá;1241
Oaxaca;San Juan Tamazola;3325
Oaxaca;San Juan Teita;544
Oaxaca;San Juan Teitipac;2668
Oaxaca;San Juan Tepeuxila;2692
Oaxaca;San Juan Teposcolula;1494
Oaxaca;San Juan Yaeé;1426
Oaxaca;San Juan Yatzona;440
Oaxaca;San Juan Yucuita;643
Oaxaca;San Lorenzo;5903
Oaxaca;San Lorenzo Albarradas;2971
Oaxaca;San Lorenzo Cacaotepec;18339
Oaxaca;San Lorenzo Cuaunecuiltitla;833
Oaxaca;San Lorenzo Texmelúcan;9148
Oaxaca;San Lorenzo Victoria;932
Oaxaca;San Lucas Camotlán;3187
Oaxaca;San Lucas Ojitlán;22185
Oaxaca;San Lucas Quiaviní;1720
Oaxaca;San Lucas Zoquiápam;7163
Oaxaca;San Luis Amatlán;3829
Oaxaca;San Marcial Ozolotepec;1372
Oaxaca;San Marcos Arteaga;1568
Oaxaca;San Martín de los Cansecos;994
Oaxaca;San Martín Huamelúlpam;1000
Oaxaca;San Martín Itunyoso;2749
Oaxaca;San Martín Lachilá;1034
Oaxaca;San Martín Peras;12436
Oaxaca;San Martín Tilcajete;1975
Oaxaca;San Martín Toxpalan;3934
Oaxaca;San Martín Zacatepec;1324
Oaxaca;San Mateo Cajonos;611
Oaxaca;Capulálpam de Méndez;1619
Oaxaca;San Mateo del Mar;15571
Oaxaca;San Mateo Yoloxochitlán;3831
Oaxaca;San Mateo Etlatongo;1239
Oaxaca;San Mateo Nejápam;1217
Oaxaca;San Mateo Peñasco;2384
Oaxaca;San Mateo Piñas;2021
Oaxaca;San Mateo Río Hondo;3207
Oaxaca;San Mateo Sindihui;1977
Oaxaca;San Mateo Tlapiltepec;229
Oaxaca;San Melchor Betaza;1052
Oaxaca;San Miguel Achiutla;698
Oaxaca;San Miguel Ahuehuetitlán;2142
Oaxaca;San Miguel Aloápam;2191
Oaxaca;San Miguel Amatitlán;6932
Oaxaca;San Miguel Amatlán;991
Oaxaca;San Miguel Coatlán;3184
Oaxaca;San Miguel Chicahua;2169
Oaxaca;San Miguel Chimalapa;6711
Oaxaca;San Miguel del Puerto;8551
Oaxaca;San Miguel del Río;245
Oaxaca;San Miguel Ejutla;1149
Oaxaca;San Miguel el Grande;4313
Oaxaca;San Miguel Huautla;1311
Oaxaca;San Miguel Mixtepec;3194
Oaxaca;San Miguel Panixtlahuaca;6252
Oaxaca;San Miguel Peras;3818
Oaxaca;San Miguel Piedras;1328
Oaxaca;San Miguel Quetzaltepec;7286
Oaxaca;San Miguel Santa Flor;691
Oaxaca;Villa Sola de Vega;12350
Oaxaca;San Miguel Soyaltepec;38682
Oaxaca;San Miguel Suchixtepec;2932
Oaxaca;Villa Talea de Castro;2011
Oaxaca;San Miguel Tecomatlán;305
Oaxaca;San Miguel Tenango;653
Oaxaca;San Miguel Tequixtepec;1044
Oaxaca;San Miguel Tilquiápam;3141
Oaxaca;San Miguel Tlacamama;3668
Oaxaca;San Miguel Tlacotepec;3100
Oaxaca;San Miguel Tulancingo;307
Oaxaca;San Miguel Yotao;585
Oaxaca;San Nicolás;1214
Oaxaca;San Nicolás Hidalgo;1043
Oaxaca;San Pablo Coatlán;4308
Oaxaca;San Pablo Cuatro Venados;1510
Oaxaca;San Pablo Etla;17116
Oaxaca;San Pablo Huitzo;7035
Oaxaca;San Pablo Huixtepec;10020
Oaxaca;San Pablo Macuiltianguis;955
Oaxaca;San Pablo Tijaltepec;2751
Oaxaca;San Pablo Villa de Mitla;13587
Oaxaca;San Pablo Yaganiza;1125
Oaxaca;San Pedro Amuzgos;6632
Oaxaca;San Pedro Apóstol;1594
Oaxaca;San Pedro Atoyac;4559
Oaxaca;San Pedro Cajonos;1081
Oaxaca;San Pedro Coxcaltepec Cántaros;716
Oaxaca;San Pedro Comitancillo;4333
Oaxaca;San Pedro el Alto;4654
Oaxaca;San Pedro Huamelula;9735
Oaxaca;San Pedro Huilotepec;3307
Oaxaca;San Pedro Ixcatlán;10368
Oaxaca;San Pedro Ixtlahuaca;14552
Oaxaca;San Pedro Jaltepetongo;483
Oaxaca;San Pedro Jicayán;11279
Oaxaca;San Pedro Jocotipac;730
Oaxaca;San Pedro Juchatengo;1755
Oaxaca;San Pedro Mártir;1899
Oaxaca;San Pedro Mártir Quiechapa;738
Oaxaca;San Pedro Mártir Yucuxaco;1257
Oaxaca;San Pedro Mixtepec;49780
Oaxaca;San Pedro Mixtepec;972
Oaxaca;San Pedro Molinos;706
Oaxaca;San Pedro Nopala;751
Oaxaca;San Pedro Ocopetatillo;786
Oaxaca;San Pedro Ocotepec;2404
Oaxaca;San Pedro Pochutla;48204
Oaxaca;San Pedro Quiatoni;11930
Oaxaca;San Pedro Sochiápam;5052
Oaxaca;San Pedro Tapanatepec;15479
Oaxaca;San Pedro Taviche;1441
Oaxaca;San Pedro Teozacoalco;1153
Oaxaca;San Pedro Teutila;4296
Oaxaca;San Pedro Tidaá;982
Oaxaca;San Pedro Topiltepec;373
Oaxaca;San Pedro Totolápam;3294
Oaxaca;Villa de Tututepec;50541
Oaxaca;San Pedro Yaneri;867
Oaxaca;San Pedro Yólox;1697
Oaxaca;San Pedro y San Pablo Ayutla;5616
Oaxaca;Villa de Etla;10361
Oaxaca;San Pedro y San Pablo Teposcolula;4353
Oaxaca;San Pedro y San Pablo Tequixtepec;1747
Oaxaca;San Pedro Yucunama;241
Oaxaca;San Raymundo Jalpan;4105
Oaxaca;San Sebastián Abasolo;1999
Oaxaca;San Sebastián Coatlán;2809
Oaxaca;San Sebastián Ixcapa;4188
Oaxaca;San Sebastián Nicananduta;1542
Oaxaca;San Sebastián Río Hondo;4202
Oaxaca;San Sebastián Tecomaxtlahuaca;8192
Oaxaca;San Sebastián Teitipac;2189
Oaxaca;San Sebastián Tutla;16878
Oaxaca;San Simón Almolongas;2802
Oaxaca;San Simón Zahuatlán;4940
Oaxaca;Santa Ana;2406
Oaxaca;Santa Ana Ateixtlahuaca;477
Oaxaca;Santa Ana Cuauhtémoc;681
Oaxaca;Santa Ana del Valle;2179
Oaxaca;Santa Ana Tavela;848
Oaxaca;Santa Ana Tlapacoyan;1958
Oaxaca;Santa Ana Yareni;637
Oaxaca;Santa Ana Zegache;3981
Oaxaca;Santa Catalina Quierí;825
Oaxaca;Santa Catarina Cuixtla;1495
Oaxaca;Santa Catarina Ixtepeji;2675
Oaxaca;Santa Catarina Juquila;18654
Oaxaca;Santa Catarina Lachatao;1059
Oaxaca;Santa Catarina Loxicha;3676
Oaxaca;Santa Catarina Mechoacán;4582
Oaxaca;Santa Catarina Minas;2067
Oaxaca;Santa Catarina Quiané;2193
Oaxaca;Santa Catarina Tayata;662
Oaxaca;Santa Catarina Ticuá;986
Oaxaca;Santa Catarina Yosonotú;1316
Oaxaca;Santa Catarina Zapoquila;403
Oaxaca;Santa Cruz Acatepec;1645
Oaxaca;Santa Cruz Amilpas;13200
Oaxaca;Santa Cruz de Bravo;365
Oaxaca;Santa Cruz Itundujia;10860
Oaxaca;Santa Cruz Mixtepec;3720
Oaxaca;Santa Cruz Nundaco;2951
Oaxaca;Santa Cruz Papalutla;2242
Oaxaca;Santa Cruz Tacache de Mina;2940
Oaxaca;Santa Cruz Tacahua;1182
Oaxaca;Santa Cruz Tayata;595
Oaxaca;Santa Cruz Xitla;4794
Oaxaca;Santa Cruz Xoxocotlán;100402
Oaxaca;Santa Cruz Zenzontepec;19079
Oaxaca;Santa Gertrudis;2891
Oaxaca;Santa Inés del Monte;2809
Oaxaca;Santa Inés Yatzeche;908
Oaxaca;Santa Lucía del Camino;50362
Oaxaca;Santa Lucía Miahuatlán;3375
Oaxaca;Santa Lucía Monteverde;6726
Oaxaca;Santa Lucía Ocotlán;4173
Oaxaca;Santa María Alotepec;2796
Oaxaca;Santa María Apazco;1629
Oaxaca;Santa María la Asunción;3259
Oaxaca;Heroica Ciudad de Tlaxiaco;40123
Oaxaca;Ayoquezco de Aldama;4874
Oaxaca;Santa María Atzompa;41921
Oaxaca;Santa María Camotlán;1713
Oaxaca;Santa María Colotepec;27046
Oaxaca;Santa María Cortijo;1067
Oaxaca;Santa María Coyotepec;3751
Oaxaca;Santa María Chachoápam;761
Oaxaca;Villa de Chilapa de Díaz;1815
Oaxaca;Santa María Chilchotla;21469
Oaxaca;Santa María Chimalapa;9578
Oaxaca;Santa María del Rosario;499
Oaxaca;Santa María del Tule;8939
Oaxaca;Santa María Ecatepec;3418
Oaxaca;Santa María Guelacé;908
Oaxaca;Santa María Guienagati;3178
Oaxaca;Santa María Huatulco;50862
Oaxaca;Santa María Huazolotitlán;11995
Oaxaca;Santa María Ipalapa;4878
Oaxaca;Santa María Ixcatlán;461
Oaxaca;Santa María Jacatepec;9682
Oaxaca;Santa María Jalapa del Marqués;11735
Oaxaca;Santa María Jaltianguis;592
Oaxaca;Santa María Lachixío;1679
Oaxaca;Santa María Mixtequilla;4690
Oaxaca;Santa María Nativitas;603
Oaxaca;Santa María Nduayaco;453
Oaxaca;Santa María Ozolotepec;3793
Oaxaca;Santa María Pápalo;2058
Oaxaca;Santa María Peñoles;8967
Oaxaca;Santa María Petapa;16706
Oaxaca;Santa María Quiegolani;2224
Oaxaca;Santa María Sola;1516
Oaxaca;Santa María Tataltepec;317
Oaxaca;Santa María Tecomavaca;1830
Oaxaca;Santa María Temaxcalapa;903
Oaxaca;Santa María Temaxcaltepec;2694
Oaxaca;Santa María Teopoxco;3985
Oaxaca;Santa María Tepantlali;3576
Oaxaca;Santa María Texcatitlán;896
Oaxaca;Santa María Tlahuitoltepec;9653
Oaxaca;Santa María Tlalixtac;1839
Oaxaca;Santa María Tonameca;25347
Oaxaca;Santa María Totolapilla;812
Oaxaca;Santa María Xadani;9234
Oaxaca;Santa María Yalina;250
Oaxaca;Santa María Yavesía;434
Oaxaca;Santa María Yolotepec;481
Oaxaca;Santa María Yosoyúa;1699
Oaxaca;Santa María Yucuhiti;6008
Oaxaca;Santa María Zacatepec;17100
Oaxaca;Santa María Zaniza;2469
Oaxaca;Santa María Zoquitlán;3294
Oaxaca;Santiago Amoltepec;13855
Oaxaca;Santiago Apoala;1019
Oaxaca;Santiago Apóstol;4421
Oaxaca;Santiago Astata;3918
Oaxaca;Santiago Atitlán;3556
Oaxaca;Santiago Ayuquililla;2904
Oaxaca;Santiago Cacaloxtepec;1667
Oaxaca;Santiago Camotlán;3346
Oaxaca;Santiago Comaltepec;1157
Oaxaca;Villa de Santiago Chazumba;4877
Oaxaca;Santiago Choápam;5242
Oaxaca;Santiago del Río;527
Oaxaca;Santiago Huajolotitlán;4600
Oaxaca;Santiago Huauclilla;525
Oaxaca;Santiago Ihuitlán Plumas;341
Oaxaca;Santiago Ixcuintepec;1636
Oaxaca;Santiago Ixtayutla;13880
Oaxaca;Santiago Jamiltepec;19112
Oaxaca;Santiago Jocotepec;14198
Oaxaca;Santiago Juxtlahuaca;34735
Oaxaca;Santiago Lachiguiri;4394
Oaxaca;Santiago Lalopa;431
Oaxaca;Santiago Laollaga;3361
Oaxaca;Santiago Laxopa;1291
Oaxaca;Santiago Llano Grande;3440
Oaxaca;Santiago Matatlán;10175
Oaxaca;Santiago Miltepec;421
Oaxaca;Santiago Minas;1327
Oaxaca;Santiago Nacaltepec;1599
Oaxaca;Santiago Nejapilla;174
Oaxaca;Santiago Nundiche;1351
Oaxaca;Santiago Nuyoó;1898
Oaxaca;Santiago Pinotepa Nacional;55840
Oaxaca;Santiago Suchilquitongo;10886
Oaxaca;Santiago Tamazola;4458
Oaxaca;Santiago Tapextla;3134
Oaxaca;Villa Tejúpam de la Unión;2419
Oaxaca;Santiago Tenango;1966
Oaxaca;Santiago Tepetlapa;130
Oaxaca;Santiago Tetepec;4909
Oaxaca;Santiago Texcalcingo;2974
Oaxaca;Santiago Textitlán;4930
Oaxaca;Santiago Tilantongo;2764
Oaxaca;Santiago Tillo;545
Oaxaca;Santiago Tlazoyaltepec;6300
Oaxaca;Santiago Xanica;3029
Oaxaca;Santiago Xiacuí;1893
Oaxaca;Santiago Yaitepec;4233
Oaxaca;Santiago Yaveo;7593
Oaxaca;Santiago Yolomécatl;1922
Oaxaca;Santiago Yosondúa;7991
Oaxaca;Santiago Yucuyachi;998
Oaxaca;Santiago Zacatepec;5089
Oaxaca;Santiago Zoochila;425
Oaxaca;Nuevo Zoquiápam;1590
Oaxaca;Santo Domingo Ingenio;7681
Oaxaca;Santo Domingo Albarradas;798
Oaxaca;Santo Domingo Armenta;3155
Oaxaca;Santo Domingo Chihuitán;1618
Oaxaca;Santo Domingo de Morelos;11384
Oaxaca;Santo Domingo Ixcatlán;760
Oaxaca;Santo Domingo Nuxaá;3335
Oaxaca;Santo Domingo Ozolotepec;1101
Oaxaca;Santo Domingo Petapa;9027
Oaxaca;Santo Domingo Roayaga;941
Oaxaca;Santo Domingo Tehuantepec;67739
Oaxaca;Santo Domingo Teojomulco;5260
Oaxaca;Santo Domingo Tepuxtepec;6029
Oaxaca;Santo Domingo Tlatayápam;113
Oaxaca;Santo Domingo Tomaltepec;3386
Oaxaca;Santo Domingo Tonalá;7393
Oaxaca;Santo Domingo Tonaltepec;250
Oaxaca;Santo Domingo Xagacía;1205
Oaxaca;Santo Domingo Yanhuitlán;1633
Oaxaca;Santo Domingo Yodohino;327
Oaxaca;Santo Domingo Zanatepec;12483
Oaxaca;Santos Reyes Nopala;16688
Oaxaca;Santos Reyes Pápalo;2490
Oaxaca;Santos Reyes Tepejillo;904
Oaxaca;Santos Reyes Yucuná;1474
Oaxaca;Santo Tomás Jalieza;3923
Oaxaca;Santo Tomás Mazaltepec;2612
Oaxaca;Santo Tomás Ocotepec;4066
Oaxaca;Santo Tomás Tamazulapan;2726
Oaxaca;San Vicente Coatlán;3512
Oaxaca;San Vicente Lachixío;3227
Oaxaca;San Vicente Nuñú;449
Oaxaca;Silacayoápam;6710
Oaxaca;Sitio de Xitlapehua;713
Oaxaca;Soledad Etla;6348
Oaxaca;Villa de Tamazulápam del Progreso;8326
Oaxaca;Tanetze de Zaragoza;1558
Oaxaca;Taniche;887
Oaxaca;Tataltepec de Valdés;6386
Oaxaca;Teococuilco de Marcos Pérez;1032
Oaxaca;Teotitlán de Flores Magón;10099
Oaxaca;Teotitlán del Valle;6392
Oaxaca;Teotongo;1005
Oaxaca;Tepelmeme Villa de Morelos;1960
Oaxaca;Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca;11465
Oaxaca;San Jerónimo Tlacochahuaya;5764
Oaxaca;Tlacolula de Matamoros;30254
Oaxaca;Tlacotepec Plumas;410
Oaxaca;Tlalixtac de Cabrera;12067
Oaxaca;Totontepec Villa de Morelos;5904
Oaxaca;Trinidad Zaachila;3419
Oaxaca;La Trinidad Vista Hermosa;306
Oaxaca;Unión Hidalgo;14542
Oaxaca;Valerio Trujano;1376
Oaxaca;San Juan Bautista Valle Nacional;23067
Oaxaca;Villa Díaz Ordaz;6467
Oaxaca;Yaxe;2954
Oaxaca;Magdalena Yodocono de Porfirio Díaz;1682
Oaxaca;Yogana;1245
Oaxaca;Yutanduchi de Guerrero;1195
Oaxaca;Villa de Zaachila;46464
Oaxaca;San Mateo Yucutindoo;3144
Oaxaca;Zapotitlán Lagunas;3382
Oaxaca;Zapotitlán Palmas;1695
Oaxaca;Santa Inés de Zaragoza;1454
Oaxaca;Zimatlán de Álvarez;22093
Puebla;Acajete;72894
Puebla;Acateno;9170
Puebla;Acatlán;37955
Puebla;Acatzingo;63743
Puebla;Acteopan;3070
Puebla;Ahuacatlán;14542
Puebla;Ahuatlán;3162
Puebla;Ahuazotepec;11439
Puebla;Ahuehuetitla;2207
Puebla;Ajalpan;74768
Puebla;Albino Zertuche;1885
Puebla;Aljojuca;6591
Puebla;Altepexi;22629
Puebla;Amixtlán;4812
Puebla;Amozoc;125876
Puebla;Aquixtla;9021
Puebla;Atempan;29742
Puebla;Atexcal;3859
Puebla;Atlixco;141793
Puebla;Atoyatempan;7704
Puebla;Atzala;1512
Puebla;Atzitzihuacán;12857
Puebla;Atzitzintla;9051
Puebla;Axutla;976
Puebla;Ayotoxco de Guerrero;8208
Puebla;Calpan;15271
Puebla;Caltepec;4128
Puebla;Camocuautla;2758
Puebla;Caxhuacan;3811
Puebla;Coatepec;772
Puebla;Coatzingo;2820
Puebla;Cohetzala;1382
Puebla;Cohuecan;5403
Puebla;Coronango;46836
Puebla;Coxcatlán;20653
Puebla;Coyomeapan;14806
Puebla;Coyotepec;2334
Puebla;Cuapiaxtla de Madero;10542
Puebla;Cuautempan;9837
Puebla;Cuautinchán;12340
Puebla;Cuautlancingo;137435
Puebla;Cuayuca de Andrade;3315
Puebla;Cuetzalan del Progreso;49864
Puebla;Cuyoaco;17139
Puebla;Chalchicomula de Sesma;47410
Puebla;Chapulco;8193
Puebla;Chiautla;21699
Puebla;Chiautzingo;22039
Puebla;Chiconcuautla;17382
Puebla;Chichiquila;26928
Puebla;Chietla;37030
Puebla;Chigmecatitlán;1215
Puebla;Chignahuapan;66464
Puebla;Chignautla;35223
Puebla;Chila;5082
Puebla;Chila de la Sal;1317
Puebla;Honey;6687
Puebla;Chilchotla;21002
Puebla;Chinantla;2846
Puebla;Domingo Arenas;7982
Puebla;Eloxochitlán;14461
Puebla;Epatlán;4943
Puebla;Esperanza;14766
Puebla;Francisco Z. Mena;17824
Puebla;General Felipe Ángeles;22694
Puebla;Guadalupe;6451
Puebla;Guadalupe Victoria;18784
Puebla;Hermenegildo Galeana;7011
Puebla;Huaquechula;29233
Puebla;Huatlatlauca;6111
Puebla;Huauchinango;103946
Puebla;Huehuetla;17082
Puebla;Huehuetlán el Chico;9760
Puebla;Huejotzingo;90794
Puebla;Hueyapan;13080
Puebla;Hueytamalco;27600
Puebla;Hueytlalpan;5951
Puebla;Huitzilan de Serdán;15928
Puebla;Huitziltepec;5782
Puebla;Atlequizayan;2633
Puebla;Ixcamilpa de Guerrero;4065
Puebla;Ixcaquixtla;8804
Puebla;Ixtacamaxtitlán;25319
Puebla;Ixtepec;6950
Puebla;Izúcar de Matamoros;82809
Puebla;Jalpan;12050
